antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'acousticness_discretize=low_acousticness', 'instrumentalness_discretize=low_instrumentalness', 'danceability_discretize=medium_danceability', 'liveness_discretize=low_liveness'})",frozenset({'popularity_label=low'}),0.21739130434782608,0.6509316770186335,0.11118012422360249,0.5114285714285715,0.7856870229007634,1.0,-0.030326762084796094,0.7144673277396391,-0.25845799769850386,0.14684167350287122,-0.3996441281138789,0.34111504907306434
"frozenset({'acousticness_discretize=low_acousticness', 'speechiness_discretize=low_speechiness', 'loudness_discretize=high_loudness', 'danceability_discretize=medium_danceability', 'liveness_discretize=low_liveness'})",frozenset({'popularity_label=low'}),0.21387163561076605,0.6509316770186335,0.1124223602484472,0.5256534365924491,0.8075401077422167,1.0,-0.02679346218638684,0.7358930155913297,-0.2326389470428568,0.14942212438084757,-0.3588931798686066,0.34918168012828565
"frozenset({'acousticness_discretize=low_acousticness', 'loudness_discretize=high_loudness', 'danceability_discretize=medium_danceability', 'liveness_discretize=low_liveness', 'instrumentalness_discretize=low_instrumentalness'})",frozenset({'popularity_label=low'}),0.20641821946169772,0.6509316770186335,0.10455486542443064,0.506519558676028,0.7781455052179439,1.0,-0.02980929233697259,0.707359995960208,-0.26430865160848205,0.1388888888888889,-0.41370731411315803,0.3335714841726196
"frozenset({'acousticness_discretize=low_acousticness', 'speechiness_discretize=low_speechiness', 'danceability_discretize=medium_danceability', 'liveness_discretize=low_liveness', 'instrumentalness_discretize=low_instrumentalness'})",frozenset({'popularity_label=low'}),0.20351966873706004,0.6509316770186335,0.10248447204968944,0.503560528992879,0.77359966763219,1.0,-0.0299929272276018,0.703143773546482,-0.26870617023948445,0.1362885462555066,-0.4221842496823218,0.330501638542241
"frozenset({'acousticness_discretize=low_acousticness', 'danceability_discretize=medium_danceability', 'duration_ms_descretize=medium_duration', 'speechiness_discretize=low_speechiness'})",frozenset({'popularity_label=low'}),0.20476190476190476,0.6509316770186335,0.1186335403726708,0.5793731041456016,0.8900674596129948,1.0,-0.014652469683525585,0.8298763736263737,-0.13443325825622102,0.1609550561797753,-0.20499875858644373,0.3808125062712741
"frozenset({'acousticness_discretize=low_acousticness', 'loudness_discretize=high_loudness', 'danceability_discretize=medium_danceability', 'duration_ms_descretize=medium_duration'})",frozenset({'popularity_label=low'}),0.20579710144927535,0.6509316770186335,0.11759834368530021,0.5714285714285715,0.8778625954198475,1.0,-0.01636150868665044,0.8144927536231886,-0.14906832298136627,0.15910364145658265,-0.22775800711743743,0.376045074518357
"frozenset({'acousticness_discretize=low_acousticness', 'instrumentalness_discretize=low_instrumentalness', 'danceability_discretize=medium_danceability', 'duration_ms_descretize=medium_duration'})",frozenset({'popularity_label=low'}),0.19710144927536233,0.6509316770186335,0.10869565217391304,0.551470588235294,0.847201953300404,1.0,-0.019603924745701676,0.7782506873027186,-0.18342766659928572,0.14701764211705406,-0.28493301235084795,0.35922766052986077
"frozenset({'acousticness_discretize=low_acousticness', 'danceability_discretize=medium_danceability', 'duration_ms_descretize=medium_duration', 'liveness_discretize=low_liveness'})",frozenset({'popularity_label=low'}),0.1763975155279503,0.6509316770186335,0.10331262939958592,0.585680751173709,0.8997576425473964,1.0,-0.01151010120494321,0.8425105132581424,-0.11915386458638395,0.14269373748927655,-0.18692880891517527,0.37219788194817766
"frozenset({'acousticness_discretize=low_acousticness', 'speechiness_discretize=low_speechiness', 'loudness_discretize=high_loudness', 'danceability_discretize=medium_danceability', 'duration_ms_descretize=medium_duration'})",frozenset({'popularity_label=low'}),0.19171842650103518,0.6509316770186335,0.1082815734989648,0.5647948164146869,0.8676714259805781,1.0,-0.016514023378727663,0.8020775858083012,-0.1587337034403138,0.14744854806879054,-0.24676218073372616,0.3655717084617964
"frozenset({'acousticness_discretize=low_acousticness', 'loudness_discretize=high_loudness', 'danceability_discretize=medium_danceability', 'duration_ms_descretize=medium_duration', 'instrumentalness_discretize=low_instrumentalness'})",frozenset({'popularity_label=low'}),0.18944099378881987,0.6509316770186335,0.10393374741200828,0.5486338797814208,0.8428440328703124,1.0,-0.019379396371024774,0.7733596017625916,-0.18701679055856835,0.14113016587011526,-0.2930595258930828,0.3541515454886748
"frozenset({'acousticness_discretize=low_acousticness', 'speechiness_discretize=low_speechiness', 'danceability_discretize=medium_danceability', 'duration_ms_descretize=medium_duration', 'instrumentalness_discretize=low_instrumentalness'})",frozenset({'popularity_label=low'}),0.18281573498964804,0.6509316770186335,0.09937888198757763,0.5436013590033975,0.8351127748048377,1.0,-0.01962167097462804,0.7648320823636391,-0.1945966351402365,0.13532562729066816,-0.3074765338158898,0.34813655736429416
"frozenset({'acousticness_discretize=low_acousticness', 'speechiness_discretize=low_speechiness', 'loudness_discretize=high_loudness', 'danceability_discretize=medium_danceability', 'duration_ms_descretize=medium_duration', 'instrumentalness_discretize=low_instrumentalness'})",frozenset({'popularity_label=low'}),0.17577639751552795,0.6509316770186335,0.09503105590062112,0.5406360424028269,0.8305572788822055,1.0,-0.019387369314455463,0.7598948877209748,-0.19840890696251262,0.1298811544991511,-0.31597147994919683,0.34331420440752036
"frozenset({'acousticness_discretize=low_acousticness', 'speechiness_discretize=low_speechiness', 'danceability_discretize=medium_danceability', 'liveness_discretize=low_liveness', 'duration_ms_descretize=medium_duration'})",frozenset({'popularity_label=low'}),0.1658385093167702,0.6509316770186335,0.09668737060041407,0.5830212234706617,0.8956719177364173,1.0,-0.011262168383421423,0.8371369063116004,-0.12252801293862689,0.1342725704427832,-0.19454774059116497,0.36577905957248097
"frozenset({'acousticness_discretize=low_acousticness', 'loudness_discretize=high_loudness', 'danceability_discretize=medium_danceability', 'liveness_discretize=low_liveness', 'duration_ms_descretize=medium_duration'})",frozenset({'popularity_label=low'}),0.1648033126293996,0.6509316770186335,0.09358178053830228,0.5678391959798995,0.8723483831370594,1.0,-0.013693916129778938,0.8077278636429295,-0.14908494926340463,0.12958715596330275,-0.2380407374953056,0.3558025496438938
